time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:23.761,0.05,-0.4,9.85,0.0625,0.0,-0.1875,-15.75,9.25,-45.5625
2021-06-17T15:56:23.774,0.05,-0.41,9.83,0.0625,0.1875,0.0,-15.75,9.25,-45.5625
2021-06-17T15:56:23.786,0.03,-0.39,9.86,0.125,-0.0625,-0.125,-15.75,9.25,-45.5625
2021-06-17T15:56:23.8,0.02,-0.42,9.82,0.0,-0.0625,0.0,-15.0,8.5,-45.5625
2021-06-17T15:56:23.813,0.04,-0.39,9.84,0.0625,0.125,0.0,-15.0,8.5,-45.5625
2021-06-17T15:56:23.826,0.05,-0.41,9.86,-0.125,-0.0625,0.0625,-15.0,8.5,-45.5625
2021-06-17T15:56:23.838,0.06,-0.41,9.83,-0.125,0.1875,0.0625,-15.0,8.5,-45.5625
2021-06-17T15:56:23.851,0.05,-0.39,9.83,0.0625,0.0625,-0.125,-16.1875,9.25,-46.0
2021-06-17T15:56:23.864,0.06,-0.4,9.85,-0.0625,0.125,0.125,-16.1875,9.25,-46.0
2021-06-17T15:56:23.877,0.05,-0.4,9.81,0.0,0.125,0.0,-16.1875,9.25,-46.0
2021-06-17T15:56:23.901,0.04,-0.42,9.84,0.0,-0.0625,0.0,-15.75,8.5,-46.0
2021-06-17T15:56:23.914,0.06,-0.39,9.86,0.0,0.0,0.0,-15.75,8.5,-46.0
2021-06-17T15:56:23.927,0.06,-0.39,9.84,0.125,0.0625,-0.0625,-15.75,8.5,-46.0
2021-06-17T15:56:23.94,0.07,-0.43,9.85,0.0,0.0625,-0.0625,-15.75,8.5,-46.0
2021-06-17T15:56:23.953,0.05,-0.39,9.86,0.0,0.1875,0.0,-16.5,8.5,-45.5625
2021-06-17T15:56:23.966,0.05,-0.41,9.84,0.125,0.0,0.0,-16.5,8.5,-45.5625
2021-06-17T15:56:23.978,0.05,-0.39,9.83,0.0625,-0.125,0.0,-16.5,8.5,-45.5625
2021-06-17T15:56:23.991,0.06,-0.39,9.84,0.1875,0.0,-0.0625,-16.5,8.5,-45.5625
2021-06-17T15:56:24.004,0.04,-0.4,9.85,0.125,0.0,-0.125,-17.25,8.5,-45.1875
2021-06-17T15:56:24.017,0.04,-0.4,9.82,0.0,0.0625,0.0,-17.25,8.5,-45.1875
2021-06-17T15:56:24.03,0.07,-0.39,9.83,0.0,0.0,0.0,-17.25,8.5,-45.1875
2021-06-17T15:56:24.043,0.05,-0.43,9.86,0.0,0.0,0.0,-17.25,8.5,-45.1875
2021-06-17T15:56:24.055,0.05,-0.39,9.85,0.0,-0.0625,-0.0625,-16.5,8.875,-45.1875
2021-06-17T15:56:24.068,0.06,-0.39,9.84,0.1875,-0.25,0.0,-16.5,8.875,-45.1875
2021-06-17T15:56:24.081,0.06,-0.39,9.83,0.0625,0.125,0.0625,-16.5,8.875,-45.1875
2021-06-17T15:56:24.094,0.07,-0.41,9.84,0.125,0.0,-0.0625,-16.5,8.875,-45.1875
2021-06-17T15:56:24.107,0.06,-0.41,9.84,0.0625,0.0625,0.0,-16.5,8.875,-45.5625
2021-06-17T15:56:24.131,0.05,-0.4,9.86,0.0,0.1875,-0.125,-16.5,8.875,-45.5625
2021-06-17T15:56:24.149,0.05,-0.42,9.87,0.0,0.125,0.0,-16.5,8.875,-45.5625
2021-06-17T15:56:24.162,0.05,-0.39,9.88,0.25,-0.0625,0.0,-16.1875,10.75,-44.375
